"","STATE","EST","E95L","E95H","EST_F","E95L_F","E95H_F","POP","STROKE","AFFGEOID","StateName.x","ID","StateName.y","StateName","EST_CASES"
"23",22,0.645037558607898,0.121856866003294,1.1682182512125,13.1640318083244,2.48687481639375,23.8411888002551,3327,4.9,"1400000US22095070700","Louisiana (LA)",23,"Louisiana (LA)","Louisiana (LA)",21.4603995748848
"24",22,0.606372221482056,0.114552428079889,1.09819201488422,12.1274444296411,2.29104856159779,21.9638402976845,2359,5,"1400000US22033000702","Louisiana (LA)",24,"Louisiana (LA)","Louisiana (LA)",14.3043207047617
"25",22,0.313744830992437,0.0592709080568621,0.568218753928013,11.6201789256458,2.19521881692082,21.0451390343708,1837,2.7,"1400000US22019003102","Louisiana (LA)",25,"Louisiana (LA)","Louisiana (LA)",5.76349254533107
"26",22,0.606372221482056,0.114552428079889,1.09819201488422,11.4409853109822,2.16136656754508,20.7206040544193,2144,5.3,"1400000US22033001103","Louisiana (LA)",26,"Louisiana (LA)","Louisiana (LA)",13.0006204285753
"27",22,0.606372221482056,0.114552428079889,1.09819201488422,11.2291152126307,2.12134126073869,20.3368891645227,2113,5.4,"1400000US22033000601","Louisiana (LA)",27,"Louisiana (LA)","Louisiana (LA)",12.8126450399159
"28",22,0.606372221482056,0.114552428079889,1.09819201488422,11.2291152126307,2.12134126073869,20.3368891645227,3636,5.4,"1400000US22033003300","Louisiana (LA)",28,"Louisiana (LA)","Louisiana (LA)",22.0476939730876
"29",22,0.313744830992437,0.0592709080568621,0.568218753928012,10.8187872756013,2.04382441575386,19.5937501354487,2823,2.9,"1400000US22019000500","Louisiana (LA)",29,"Louisiana (LA)","Louisiana (LA)",8.8570165789165
"30",22,0.606372221482056,0.114552428079889,1.09819201488422,10.4546934738286,1.97504186344637,18.9343450842108,1935,5.8,"1400000US22033000400","Louisiana (LA)",30,"Louisiana (LA)","Louisiana (LA)",11.7333024856778
"31",22,0.606372221482056,0.114552428079889,1.09819201488422,10.1062036913676,1.90920713466482,18.3032002480704,1153,6,"1400000US22033000300","Louisiana (LA)",31,"Louisiana (LA)","Louisiana (LA)",6.99147171368811
"32",22,0.606372221482056,0.114552428079889,1.09819201488422,9.94052822101732,1.87790865704737,18.0031477849873,3665,6.1,"1400000US22033000602","Louisiana (LA)",32,"Louisiana (LA)","Louisiana (LA)",22.2235419173174
