GEO_ID,LocationName,NAME,Female_pt,Female_18over_pt,Pop,Pop_18over,Pop_20_24_pt,Pop_25_44_pt,Pop_45_64_pt,Pop_65_74_pt,Pop_75_84_pt,Pop_85over_pt,Pop_20_24_18over_pt,Pop_25_44_18over_pt,Pop_45_64_18over_pt,Pop_65_74_18over_pt,Pop_75_84_18over_pt,Pop_85over_18over_pt,Hispanic_pt,NH_White_pt,NH_Black_pt,EduLHigh_18over_pt,EduLHigh_25over_pt,Poverty_18over_pt,Insured_pt,Insured_19over_pt,Insured_19_64_pt,MHI,MHV
1400000US01003010903,1003010903,"Census Tract 109.03, Baldwin County, Alabama",46.17377785,44.94455316,5789,4599,6.719640698,30.5406806,25.41026084,10.08809812,4.819485231,1.053722577,8.458360513,38.44313981,31.98521418,12.6984127,6.066536204,1.326375299,1.209189843,79.49559509,15.7367421,22.13524679,21.25870766,13.75979112,86.82216906,85.16265538,80.71577484,53853,145100
1400000US01003010904,1003010904,"Census Tract 109.04, Baldwin County, Alabama",46.21565161,46.37136642,6223,5057,5.624296963,19.99035835,31.15860517,13.16085489,7.809738068,1.735497349,6.921099466,24.59956496,38.34289104,16.19537275,9.610440973,2.13565355,8.195404146,84.86260646,1.57480315,21.00059324,21.49695387,13.53547364,87.90374677,86.77206324,81.55691964,52051,150600
1400000US01003010905,1003010905,"Census Tract 109.05, Baldwin County, Alabama",47.10915536,49.21296296,8181,6480,5.072729495,27.18494072,31.09644298,7.395183963,4.36376971,0.831194231,6.404320988,34.32098765,39.25925926,9.336419753,5.509259259,1.049382716,7.077374404,88.99889989,3.422564479,18.99691358,15.03966885,13.98148148,82.22766218,77.49611198,74,47694,151600
1400000US01003010906,1003010906,"Census Tract 109.06, Baldwin County, Alabama",52.10436107,52.436751,5251,3755,5.046657779,27.08055608,20.64368692,8.950676062,3.618358408,3.256522567,7.057256991,37.86950732,28.86817577,12.51664447,5.059920107,4.553928096,15.93982099,80.30851266,2.456674919,14.14114514,13.54510039,12.57584115,83.7758688,79.9491669,74.81376375,44473,131400
1400000US01003011000,1003011000,"Census Tract 110, Baldwin County, Alabama",49.33510638,47.17890559,4512,3527,9.507978723,18.6391844,25.37677305,12.10106383,6.161347518,2.969858156,12.1633116,23.84462716,32.4638503,15.4805784,7.882052736,3.79926283,15.5141844,75.04432624,3.812056738,21.12276722,23.91304348,16.40181612,84.10904255,80.49199085,73.28605201,37014,145700
1400000US01003011101,1003011101,"Census Tract 111.01, Baldwin County, Alabama",56.0522758,56.12257356,11095,8191,4.200090131,23.92068499,25.12843623,10.45515998,6.480396575,1.847679135,5.689171041,32.40141619,34.03735808,14.161885,8.777926993,2.502746917,7.868409193,84.00180261,3.623253718,5.542668783,5.075737444,5.713588084,96.37169743,95.05256648,93.33444426,69884,227800
1400000US01003011102,1003011102,"Census Tract 111.02, Baldwin County, Alabama",54.20752566,52.50388802,4385,3215,2.59977195,20.15963512,29.14481186,12.24629418,4.264538198,1.140250855,3.545878694,27.49611198,39.75116641,16.7029549,5.816485226,1.555209953,3.808437856,89.09920182,2.166476625,7.776049767,7.254768392,7.309486781,94.27594071,92.80254777,90.44801352,64851,208100
1400000US01003011201,1003011201,"Census Tract 112.01, Baldwin County, Alabama",48.9344752,51.74337517,5021,3585,1.832304322,18.70145389,23.40171281,13.5829516,6.293567019,5.397331209,2.566248257,26.19246862,32.77545328,19.0237099,8.814504881,7.559274756,0.677155945,92.37203744,6.47281418,4.016736402,4.256577003,10.70927951,93.54387368,90.76086957,85.49618321,61795,310300
1400000US01003011202,1003011202,"Census Tract 112.02, Baldwin County, Alabama",55.72213893,54.64527027,6003,4736,2.815259037,19.0571381,29.90171581,14.00966184,6.813260037,4.864234549,3.568412162,24.15540541,37.90118243,17.75760135,8.63597973,6.165540541,1.882392137,72.36381809,25.57054806,9.776182432,10.33251506,6.821106821,92.34272221,92.21713538,88.38268793,54314,231700
1400000US01003011300,1003011300,"Census Tract 113, Baldwin County, Alabama",52.46901036,53.41824799,4921,3847,3.57650884,17.98414956,29.79069295,17.17130664,6.40113798,2.519813046,4.574993501,23.00493891,38.10761632,21.96516766,8.188198596,3.223290876,0.629953262,95.4887218,3.170087381,3.145308032,3.328748281,3.977125032,94.76151651,93.22971549,89.76910828,77931,270800
1400000US01003011401,1003011401,"Census Tract 114.01, Baldwin County, Alabama",48.35651635,50.46331625,11287,9173,5.289270843,23.64667316,29.52954727,13.75919199,5.200673341,2.976876052,6.508230677,29.09626077,36.33489589,16.93012101,6.399215088,3.662923798,6.946044122,85.09790024,4.350137326,11.51204622,11.08752064,9.745993677,88.5354833,86.86868687,83.56453559,53149,169500
1400000US01003011403,1003011403,"Census Tract 114.03, Baldwin County, Alabama",56.91974786,55.68990846,10629,8849,4.986358077,21.70476997,35.25261078,14.55452065,4.835826512,1.100762066,5.989377331,26.07074246,42.34376766,17.48220138,5.80856594,1.322183298,3.725656224,91.73958039,3.546899991,4.667194033,4.494655005,8.690247486,89.13350268,87.09018718,82.85369896,48694,227100
1400000US01003011405,1003011405,"Census Tract 114.05, Baldwin County, Alabama",47.36389068,48.68616758,4647,4034,4.11017861,15.34323219,31.43963848,24.9623413,8.069722402,1.205078545,4.734754586,17.6747645,36.21715419,28.75557759,9.295984135,1.388200297,0.79621261,96.01893695,0.81773187,4.437283094,4.435590969,7.164105107,94.34043469,94.4736184,90.82225914,84137,377600
1400000US01003011406,1003011406,"Census Tract 114.06, Baldwin County, Alabama",55.87475791,59.83313468,3098,2517,5.519690123,19.04454487,29.43834732,18.04389929,5.455132343,1.936733376,6.793802145,23.44060389,36.23361144,22.20897894,6.714342471,2.383790226,0.290510006,95.99741769,0,11.00516488,9.301310044,5.08541915,85.92640413,90.99353796,86.78909953,60061,202500
1400000US01003011407,1003011407,"Census Tract 114.07, Baldwin County, Alabama",51.20385233,51.19914347,4984,4670,4.15329053,17.6565008,31.96227929,23.57544141,10.59390048,1.705457464,4.43254818,18.84368308,34.11134904,25.16059957,11.30620985,1.82012848,3.430979133,94.90369181,0,4.475374732,2.558084957,17.12078953,87.29648241,86.34694318,77.75431186,47500,231700
1400000US01003011408,1003011408,"Census Tract 114.08, Baldwin County, Alabama",54.19354839,57.62411348,620,564,1.612903226,6.774193548,44.83870968,19.67741935,12.41935484,4.677419355,1.773049645,7.446808511,49.29078014,21.63120567,13.65248227,5.141843972,3.870967742,96.12903226,0,0.709219858,0.729927007,14.71631206,92.41935484,92.37588652,87.20238095,76250,356700
1400000US01003011501,1003011501,"Census Tract 115.01, Baldwin County, Alabama",50.5539458,51.26084325,5867,4957,6.22123743,20.52156127,30.49258565,13.89125618,7.942730527,2.897562638,7.363324591,24.28888441,36.09037724,16.44139601,9.400847287,3.429493645,4.07363218,81.88171127,10.49940344,8.472866653,8.618361836,10.59313215,88.80139983,87.81996587,82.88369305,43226,152700
1400000US01003011502,1003011502,"Census Tract 115.02, Baldwin County, Alabama",56.82819383,58.28775977,12485,10057,6.063275931,28.44213056,24.90188226,9.162995595,7.577092511,3.275931117,7.527095555,35.30874018,30.91379139,11.37516158,9.406383613,4.066819131,9.114937926,75.29034842,13.98478174,16.59540618,15.75499509,9.893606443,81.28153785,77.18188209,69.53606865,43591,175300
1400000US01003011601,1003011601,"Census Tract 116.01, Baldwin County, Alabama",49.01866152,52.94961082,6216,4882,6.644144144,19.72329472,28.31402831,10.76254826,5.711068211,3.716216216,8.459647685,25.11265875,36.05079885,13.70340025,7.271609996,4.731667349,2.284427284,95.67245817,0.900900901,12.57681278,10.46922896,16.06665295,86.28404669,83.65750529,77.75539568,52973,169200
1400000US01003011602,1003011602,"Census Tract 116.02, Baldwin County, Alabama",53.52644836,52.74098227,5558,4907,3.274559194,18.45987765,29.93882692,19.44944225,13.13422094,2.932709608,3.708987161,20.90890564,33.91073976,22.02975341,14.87670675,3.321785205,4.048218784,94.15257287,0.41381792,6.847360913,7.204116638,7.377216222,91.51438393,90.63144862,84.29665738,48333,122300
1400000US01003990000,1003990000,"Census Tract 9900, Baldwin County, Alabama",,,0,0,,,,,,,,,,,,,,,,,,,,,,,
1400000US01005950100,1005950100,"Census Tract 9501, Barbour County, Alabama",53.14920849,53.16853933,2969,2225,3.873358033,20.78140788,27.48400135,11.72111822,7.005725834,1.549343213,5.168539326,27.73033708,36.6741573,15.64044944,9.348314607,2.06741573,0,52.475581,47.524419,20.08988764,20.1965602,22.47191011,92.62377905,90.27522936,86.5652725,42857,102000
1400000US01005950200,1005950200,"Census Tract 9502, Barbour County, Alabama",34.80895916,32.86426268,3795,3411,8.300395257,36.62714097,28.80105402,10.35573123,2.845849802,0.948616601,9.234828496,40.75051305,32.04338904,11.52154793,3.166226913,1.055408971,2.450592885,35.78392622,59.92094862,37.5256523,38.2781457,27.39361702,87.41166078,84.61538462,78.88475836,31642,93800
1400000US01005950300,1005950300,"Census Tract 9503, Barbour County, Alabama",51.1614056,51.91297824,1679,1333,8.874329958,21.67957117,24.77665277,15.00893389,5.122096486,1.191185229,11.17779445,27.30682671,31.20780195,18.90472618,6.451612903,1.500375094,1.727218582,42.64443121,54.19892793,33.83345836,36.11599297,24.45611403,84.99106611,80.8801214,73.75,32331,69500
1400000US01005950400,1005950400,"Census Tract 9504, Barbour County, Alabama",35.60962847,32.34476367,3822,3237,8.869701727,29.87964417,27.9696494,8.974358974,4.683411826,3.165881737,10.47265987,35.27957986,33.02440531,10.59623108,5.529811554,3.738029039,8.895866039,51.77917321,37.59811617,30.36762434,32.4807288,21.67243939,85.57175748,83.92411383,77.41007194,28500,49200
1400000US01005950500,1005950500,"Census Tract 9505, Barbour County, Alabama",50.51575132,51.40459686,3587,2741,2.035126847,21.38277112,29.88569836,15.13799833,5.938109841,0.557568999,2.663261583,27.98248814,39.10981394,19.81028822,7.770886538,0.729660708,7.053247839,65.4028436,22.69305827,21.63443999,21.33843212,10.21524991,89.46194592,86.22090876,80.68358364,46794,81500
1400000US01005950600,1005950600,"Census Tract 9506, Barbour County, Alabama",53.54573484,55.22496372,1946,1378,9.815005139,25.07708119,20.70914697,8.735868448,4.676258993,1.079136691,13.86066763,35.41364296,29.24528302,12.33671988,6.603773585,1.52394775,5.29290853,53.90544707,39.10585817,23.87518142,21.99488491,24.16545718,85.09763618,83.71073776,79.48482061,27692,83400
1400000US01005950700,1005950700,"Census Tract 9507, Barbour County, Alabama",55.93426659,56.74662669,1643,1334,4.199634814,25.13694461,24.10225198,14.85088253,5.964698722,5.599513086,5.172413793,30.95952024,29.68515742,18.29085457,7.346326837,6.896551724,0,45.6482045,50.88253195,28.93553223,30.24939662,24.80948349,90.87248322,88.39590444,84.83796296,27885,151900
1400000US01005950800,1005950800,"Census Tract 9508, Barbour County, Alabama",53.51512569,58.93491124,2347,1690,6.092884533,18.15083085,23.77503196,10.86493396,10.09799744,1.278227524,8.461538462,25.20710059,33.01775148,15.0887574,14.02366864,1.775147929,2.25820196,43.24669791,52.02386025,17.3964497,13.41301461,20.23668639,95.18534299,95.59178744,93.56261023,38870,136100
1400000US01005950900,1005950900,"Census Tract 9509, Barbour County, Alabama",48.49774662,48.61528195,3994,2997,6.609914872,29.34401602,23.46019029,6.810215323,4.30645969,0.901352028,8.808808809,39.10577244,31.26459793,9.075742409,5.739072406,1.201201201,5.883825739,28.21732599,63.47020531,22.58925592,23.25222093,33.19986653,87.25588383,82.5982906,79.18200409,26118,111900
1400000US01007010001,1007010001,"Census Tract 100.01, Bibb County, Alabama",53.1888798,55.12890839,2446,1823,6.418642682,25.63368765,24.24366312,10.09811938,3.965658217,3.843008994,8.612177729,34.39385628,32.52879868,13.5490949,5.320899616,5.15633571,0,97.99672935,2.003270646,17.00493692,18.21471653,4.882062534,97.5257732,96.69421488,95.64270153,46944,84300
1400000US01007010002,1007010002,"Census Tract 100.02, Bibb County, Alabama",51.81261381,50.62806046,6041,4697,6.07515312,27.64442973,28.14103625,8.458864426,3.112067538,2.036086741,7.813497977,35.55460933,36.19331488,10.87928465,4.002554822,2.618692783,3.956298626,89.96854825,5.214368482,13.94507132,14.14599237,16.81944148,87.72017281,85.33362218,82.15603585,49766,100900
1400000US01007010003,1007010003,"Census Tract 100.03, Bibb County, Alabama",48.33367833,48.22916667,4831,3840,4.947215897,21.79672946,32.91244049,9.480438833,5.920099358,1.614572552,6.223958333,27.421875,41.40625,11.92708333,7.447916667,2.03125,0,89.89857172,9.935831091,5.885416667,4.992784993,7.734375,90.89215483,88.86211513,85.71918984,54725,110300
1400000US01007010004,1007010004,"Census Tract 100.04, Bibb County, Alabama",39.1899229,40.68993074,9209,7508,7.905310023,28.45042893,24.60636334,9.838201759,5.874687805,1.433380389,9.696323921,34.89611082,30.18114012,12.0671284,7.20564731,1.758124667,3.34455424,50.23346726,44.84743186,25.85242408,24.47022428,13.74476607,94.71782041,93.01855594,90.54255849,36079,74700
1400000US01009050101,1009050101,"Census Tract 501.01, Blount County, Alabama",50.72931457,49.9669749,7747,6056,7.564218407,23.28643346,27.35252356,7.331870401,8.416161095,1.432812702,9.676354029,29.78863937,34.99009247,9.379128137,10.7661823,1.832892999,17.11630309,74.80314961,4.42752033,18.0317041,19.71830986,13.32545178,84.94482396,82.38394831,77.93859649,44146,124100
1400000US01009050102,1009050102,"Census Tract 501.02, Blount County, Alabama",52.46712852,53.60977416,7073,5402,6.99844479,21.81535416,23.93609501,13.26169942,6.037042273,3.138696451,9.163272862,28.563495,31.34024435,17.36393928,7.904479822,4.109589041,13.28997596,82.49681889,2.841792733,22.82487967,23.36719884,9.806576402,91.17088145,91.50851105,88.30818966,47225,179700
1400000US01009050200,1009050200,"Census Tract 502, Blount County, Alabama",51.60206718,53.47687963,3870,2833,5.064599483,29.63824289,23.74677003,8.242894057,4.625322997,0.956072351,6.918460995,40.48711613,32.43911048,11.26014825,6.318390399,1.306036004,24.18604651,74.49612403,0.07751938,23.89692905,23.26028451,12.49558772,89.2248062,88.22277403,85.46409807,53750,104100
1400000US01009050300,1009050300,"Census Tract 503, Blount County, Alabama",50.13687092,49.36193321,4749,3683,4.590440093,22.72057275,25.64750474,16.15076858,5.116866709,1.558222784,5.9190877,29.29676894,33.07086614,20.82541406,6.597882161,2.009231605,16.19288271,79.72204675,0,26.74450176,27.2404614,20.41813739,83.89134555,81.32596685,73.61987382,40240,93900
1400000US01009050400,1009050400,"Census Tract 504, Blount County, Alabama",49.44417593,51.91887676,4138,3205,5.993233446,20.80715321,30.03866602,10.56065732,4.881585307,1.498308362,7.737909516,26.86427457,38.78315133,13.6349454,6.302652106,1.934477379,9.231512808,88.42435959,0,28.17472699,27.70053476,11.91887676,86.92605123,85.79305871,81.61209068,43191,87800
1400000US01009050500,1009050500,"Census Tract 505, Blount County, Alabama",51.48222669,51.6270119,7455,5716,5.848423877,23.56807512,27.44466801,11.42857143,4.30583501,1.582830315,7.627711686,30.73827852,35.79426172,14.90552834,5.615815255,2.064380686,6.586183769,91.67002012,0.402414487,20.90622813,20.53396152,18.54443667,86.98859826,86.49276398,82.44310265,45000,119900
1400000US01009050601,1009050601,"Census Tract 506.01, Blount County, Alabama",47.2627301,48.68160844,4183,3034,3.203442505,28.61582596,25.07769543,7.267511355,6.550322735,0.908438919,4.416611734,39.4528675,34.57481872,10.01977587,9.030982202,1.252471984,1.195314368,92.99545781,1.816877839,14.66710613,15.54856744,7.7563249,94.29400387,92.05921938,90.0589722,54191,110600
1400000US01009050602,1009050602,"Census Tract 506.02, Blount County, Alabama",52.15636286,51.13667488,9414,7302,5.57680051,25.69577225,27.04482685,9.687699171,5.470575738,1.508391757,7.189811011,33.12791016,34.86715968,12.48972884,7.05286223,1.944672692,1.582749097,95.19864032,1.402166985,10.10682005,9.595959596,5.237833379,92.37830914,91.24250453,88.84547069,63798,150300
1400000US01009050700,1009050700,"Census Tract 507, Blount County, Alabama",49.0350488,50.4031097,9016,6946,3.893078971,23.64685004,29.08163265,11.47959184,4.680567879,0.687666371,5.053268068,30.69392456,37.74834437,14.90066225,6.075439102,0.892600058,2.417923691,95.25288376,0.388198758,19.91073999,20.35708592,12.76993953,89.88888889,87.56197142,84.5102079,42636,115200
1400000US01011952100,1011952100,"Census Tract 9521, Bullock County, Alabama",50.81374322,50.82680592,1659,1149,6.027727547,21.15732369,27.06449668,9.825195901,3.134418324,0.904159132,8.703220191,30.54830287,39.07745866,14.18624891,4.5256745,1.305483029,0,3.1946956,96.8053044,32.11488251,33.39805825,34.98694517,88.66787221,86.37168142,85,20306,66500
1400000US01011952200,1011952200,"Census Tract 9522, Bullock County, Alabama",45.22857639,44.39955107,5753,4455,7.33530332,28.88927516,23.63984008,8.812793325,2.937597775,2.259690596,9.472502806,37.30639731,30.52749719,11.38047138,3.79349046,2.918069585,0.608378237,17.92108465,80.46236746,20.71829405,22.59665622,32.71257045,92.13608477,89.28571429,86.96857671,26117,77200
